dem_req_rate,req_rate_java-jetty.herokuapp.com,con_rate_java-jetty.herokuapp.com,min_rep_rate_java-jetty.herokuapp.com,avg_rep_rate_java-jetty.herokuapp.com,max_rep_rate_java-jetty.herokuapp.com,stddev_rep_rate_java-jetty.herokuapp.com,resp_time_java-jetty.herokuapp.com,net_io_java-jetty.herokuapp.com,errors_java-jetty.herokuapp.com
2000,1987.7,79.5,437.4,1991.7,3166.1,486.7,42.1,607.6,0
3000,2976.1,119.0,120,2989.5,6220.4,964.6,28.2,909.7,0
4000,3915.9,156.7,2254.1,3933.1,5456.5,518.0,11.6,1196.9,0.0416666666666667
5000,4134.6,165.4,0,4164.6,6468.4,1634.7,74.1,1263.8,0
6000,,,,,,,,,101
7000,,,,,,,,,101
8000,,,,,,,,,101
9000,,,,,,,,,101
10000,,,,,,,,,101
11000,,,,,,,,,101
12000,,,,,,,,,101
13000,,,,,,,,,101
14000,,,,,,,,,101
15000,,,,,,,,,101
16000,,,,,,,,,101
17000,,,,,,,,,101
18000,,,,,,,,,101
19000,,,,,,,,,101
20000,,,,,,,,,101
21000,,,,,,,,,101
22000,,,,,,,,,101
23000,,,,,,,,,101
24000,,,,,,,,,101
