dem_req_rate,req_rate_python-bottle.herokuapp.com,con_rate_python-bottle.herokuapp.com,min_rep_rate_python-bottle.herokuapp.com,avg_rep_rate_python-bottle.herokuapp.com,max_rep_rate_python-bottle.herokuapp.com,stddev_rep_rate_python-bottle.herokuapp.com,resp_time_python-bottle.herokuapp.com,net_io_python-bottle.herokuapp.com,errors_python-bottle.herokuapp.com
2000,,,,,,,,,101
3000,,,,,,,,,101
4000,,,,,,,,,101
5000,,,,,,,,,101
6000,,,,,,,,,101
7000,,,,,,,,,101
8000,,,,,,,,,101
9000,,,,,,,,,101
10000,,,,,,,,,101
11000,,,,,,,,,101
12000,,,,,,,,,101
13000,,,,,,,,,101
14000,,,,,,,,,101
15000,,,,,,,,,101
16000,,,,,,,,,101
17000,,,,,,,,,101
18000,,,,,,,,,101
19000,,,,,,,,,101
20000,,,,,,,,,101
21000,,,,,,,,,101
22000,,,,,,,,,101
23000,,,,,,,,,101
24000,,,,,,,,,101
